subject,mod_act,vr_show_open_date,vr_show_close_date
Bio 181,M1 A1,2026-01-16,2026-01-28
Bio 181,M1 A2,2026-01-26,2026-02-04
Bio 181,M1 A3,2026-02-02,2026-02-18
Bio 181,M2 A1,2026-02-16,2026-02-25
Bio 181,M2 A2,2026-02-23,2026-03-04
Bio 181,M2 A3,2026-03-02,2026-03-18
Bio 181,M3 A1,2026-03-16,2026-03-25
Bio 181,M3 A2,2026-03-23,2026-04-01
Bio 181,M3 A3,2026-04-06,2026-04-15
Bio 100,M1 A1,2026-01-16,2026-01-28
Bio 100,M1 A2,2026-01-26,2026-02-04
Bio 100,M1 A3,2026-02-02,2026-02-11
Bio 100,M4 A1,2026-02-09,2026-02-18
Bio 100,M4 A2,2026-02-16,2026-02-25
Bio 100,M4 A3,2026-02-23,2026-03-04
Bio 100,M3 A1,2026-03-16,2026-03-25
Bio 100,M3 A2,2026-03-23,2026-04-01
Bio 100,M3 A3,2026-03-30,2026-04-08
Bio 100,M6 A1,2026-04-06,2026-04-15
Bio 100,M6 A2,2026-04-13,2026-04-22
Bio 100,M6 A3,2026-04-20,2026-04-29
Bio 182,M4 A1,2026-01-27,2026-02-05
Bio 182,M4 A2,2026-02-03,2026-02-12
Bio 182,M4 A3,2026-02-10,2026-02-19
Bio 182,M5 A1,2026-02-24,2026-03-05
Bio 182,M5 A2,2026-03-03,2026-03-19
Bio 182,M5 A3,2026-03-17,2026-03-26
Bio 182,M6 A1,2026-03-31,2026-04-09
Bio 182,M6 A2,2026-04-07,2026-04-16
Bio 182,M6 A3,2026-04-14,2026-04-23
POLY Bio 181,M1 A1-POLY,2026-01-15,2026-01-30
POLY Bio 181,M1 A2-POLY,2026-01-26,2026-02-06
POLY Bio 181,M1 A3-POLY,2026-02-02,2026-02-13
POLY Bio 181,M4 A1-POLY,2026-03-23,2026-04-03
POLY Bio 181,M4 A2-POLY,2026-03-30,2026-04-10
POLY Bio 181,M4 A3-POLY,2026-04-06,2026-04-17
POLY Bio 182,M5 A1-POLY,2026-01-15,2026-01-30
POLY Bio 182,M5 A2-POLY,2026-01-26,2026-02-06
POLY Bio 182,M5 A3-POLY,2026-02-02,2026-02-13
POLY Bio 182,M6 A1-POLY,2026-04-13,2026-04-24
POLY Bio 182,M6 A2-POLY,2026-04-20,2026-05-01
POLY 100,M1 A1-POLY,2026-01-15,2026-01-30
POLY 100,M1 A2-POLY,2026-01-26,2026-02-06
POLY 100,M1 A3-POLY,2026-02-02,2026-02-13
POLY 100,M4 A1-POLY,2026-03-23,2026-04-03
POLY 100,M4 A2-POLY,2026-03-30,2026-04-10
POLY 100,M4 A3-POLY,2026-04-06,2026-04-17
Chem 114,CHM M1 A1,2026-02-03,2026-02-11
Chem 114,CHM M1 A2,2026-02-11,2026-02-18
Chem 114,CHM M1 A3,2026-02-18,2026-02-25
Chem 114,CHM M2 A1,2026-02-25,2026-03-04
Chem 114,CHM M2 A2,2026-03-04,2026-03-18
Chem 114,CHM M2 A3,2026-03-18,2026-03-25
Chem 114,CHM M3 A1,2026-03-25,2026-04-01
Chem 114,CHM M3 A2,2026-04-01,2026-04-08
Chem 114,CHM M3 A3,2026-04-08,2026-04-15
Chem 113,CHM M1 A1,2026-01-20,2026-02-02
Chem 113,CHM M1 A2,2026-02-03,2026-02-13
Chem 113,CHM M1 A3,2026-02-11,2026-02-20
Chem 113,CHM M2 A1,2026-02-18,2026-02-27
Chem 113,CHM M2 A2,2026-02-25,2026-03-06
Chem 113,CHM M2 A3,2026-03-04,2026-03-20
Chem 113,CHM M3 A1,2026-03-18,2026-03-27
Chem 113,CHM M3 A2,2026-03-25,2026-04-03
Chem 113,CHM M3 A3,2026-04-01,2026-04-10
Chem 101,101 CHM M1 A1,2026-02-10,2026-02-18
Chem 101,101 CHM M1 A2,2026-02-17,2026-02-25
Chem 101,101 CHM M1 A3,2026-02-24,2026-03-04
Chem 101,101 CHM M3 A1,2026-04-07,2026-04-15
Chem 101,101 CHM M3 A2,2026-04-14,2026-04-22
Chem 101,101 CHM M3 A3,2026-04-21,2026-04-29
Chem 101,CHM M4 A1,2026-03-18,2026-03-27
Chem 101,CHM M4 A2,2026-03-25,2026-04-03
Chem 101,CHM M4 A3,2026-04-01,2026-04-10
